PERMNO,first_ymm,last_ymm,n_months,fulllife_nominal,fulllife_real
10270,198605,198711,19,-0.8975408066508312,-0.9035782634513023
10271,198605,200808,268,11.79180099497442,5.3408414415080046
10272,198605,201112,308,6.1379641121130994,2.4349981503043434
10273,198605,199205,73,-0.9852755933255585,-0.98855353926382
10274,198605,198908,40,-0.914090827357259,-0.925122502817001
10275,198605,200410,222,-0.9286746105637792,-0.9594241105669272
10276,192512,197301,566,24.662919987413716,9.843487318625513
10277,197212,197805,66,2.1296318382306647,1.0573083711779865
10278,198605,199802,142,1.7659908743346033,0.8553836254029514
10279,198605,199112,68,0.20635145713629433,-0.04996542244378796
10280,198605,198706,14,-0.8529412802415993,-0.8592900707862352
10281,198605,199806,146,-0.96370956918204,-0.9758212221666843
10282,198605,199612,128,-0.9906462293697686,-0.9935950851800559
10283,198605,198711,19,-0.8518519611775601,-0.8605816549729899
10284,192512,193907,164,0.918591216263452,1.5025102820827656
10285,198110,199112,123,-0.9047620160462241,-0.9356332117150695
10286,198605,199612,128,3.056330352474494,1.7775376814547919
10287,198605,199205,73,0.12280605597631326,-0.12715291568340978
10288,198605,198808,28,-0.19815761115024466,-0.26823459303291247
10289,198804,199006,27,-0.9420731310968489,-0.9480486510606843
10290,198605,201204,312,21.617986103394404,9.675677644473279
10291,198605,198811,31,-0.8593751427068328,-0.873051874463525
10292,192512,196209,442,131.823531878316,77.64551229637124
10293,198306,198509,28,-0.8428574748614812,-0.8560615097530833
10294,198605,202512,476,15.446227317774962,4.511613146914896
10295,198605,198807,27,-0.8750005808115817,-0.8854435702627661
10296,198605,199412,104,1.0849915946461328,0.5125590325889777
10297,198605,201612,368,23.3536177331967,9.954649283546347
10298,198605,199207,75,-0.9749998012623898,-0.9806760029686515
10299,198605,201702,370,168.86804541496758,74.72841767985405
10300,198605,199207,75,-0.6000004237754804,-0.6908188328969194
10301,198605,199005,49,-0.9479374627318131,-0.9562384555160597
10302,198605,202003,407,29.336119602698002,11.763700632869064
10303,198605,200005,169,-0.9987594048697664,-0.9992144103140328
10304,198605,201003,287,-0.8669563861045858,-0.9336099339292564
10305,192512,192812,37,1.794687685817578,1.9417765113869265
10306,197212,197409,22,-0.6236556453283648,-0.6846442561644798
10307,198605,200010,174,0.2444297036468455,-0.22330421944800335
10308,198606,202512,475,46.77443731101906,15.054843400081385
10309,198606,199906,157,3.2565085225267314,1.789011901944416
10310,198606,198806,25,-0.9878048723832612,-0.9887453440892978
10311,198606,198806,25,-0.9611110430383155,-0.9641101066684115
10312,198606,198608,3,-0.80000024999995,-0.8014587714220105
10313,192512,196812,517,19.041137994010214,9.161703771610803
10314,198010,198807,94,-0.9660432679244403,-0.9759294051109956
10315,198606,198801,20,-0.8124997055464686,-0.8235196018497012
10316,198606,199305,84,-0.3835626999428829,-0.5344658670165042
10317,198606,198811,30,0.2614087911450315,0.14187379348041435
10318,198606,202512,475,752.0725095833933,252.07385896681262
10319,198606,199407,98,1.288452253657836,0.679329180750259
10320,198606,199010,53,-0.9749999565531164,-0.9796067061320927
10321,192512,198707,740,2.6356058781789,-0.4249481036272377
10322,198606,199103,58,1.314794941486825,0.8672679194660404
10323,198606,198707,14,-0.9027777081451045,-0.9069639052460623
10324,198606,201103,298,23.507868316581757,10.943181139388596
10325,198606,200104,179,-0.7825223106821295,-0.8661202918783714
10326,198606,199608,123,-0.8787872818450827,-0.9160835028158265
10327,198606,199002,45,1.7936477556581796,1.3767831296185618
10328,198606,199705,132,-0.9451612965809836,-0.9626987207849413
10329,198606,199203,70,-0.9698780112595428,-0.9764516541720331
10330,198606,198911,42,-0.966666696338906,-0.9711676189937002
10331,198606,198805,24,0.686065113675455,0.5626594968447414
10332,198606,198811,30,-0.49999963101988854,-0.5473812121202483
10333,198606,202512,475,-0.9948248889400068,-0.9982608775252481
10334,198606,199001,44,0.599998172174466,0.3676593481145949
10335,198606,198904,35,-0.8461543091275405,-0.8639009282208706
10336,198606,198812,31,-0.860576966123445,-0.8739986025796114
10337,198606,199608,123,2.2164824181042992,1.2267955202260548
10338,198806,199302,57,3.7400754660578253,2.89209550846817
10339,198606,199505,108,-0.9828869145295261,-0.9877554861515466
10340,198606,198708,15,0.6066327991950378,0.5293908376952758
10341,198606,200403,214,11.934943623646992,6.516624122813011
10342,198606,200602,237,4.40830919878206,1.964090949911259
10343,198606,199612,127,21.892598804117082,14.718814689586077
10344,198606,199407,98,-0.008197596730981332,-0.2721881285984091
10345,198606,199206,73,-0.9736842447642413,-0.9795593028161618
10346,198606,200211,198,-0.9834999146340673,-0.990089027598731
10347,198801,198909,21,-0.7692307763736919,-0.7869538527481922
10348,192512,193501,110,-0.9631031742776401,-0.9511659659557001
10349,197212,198308,129,-0.6210588347185212,-0.8396496466273982
10350,198606,199303,82,-0.8749995421778198,-0.9052050845624274
10351,198606,199601,116,1.3813586639085766,0.6795981768111656
10352,198606,199602,117,-0.3389862413964377,-0.5352847107041451
10353,198606,201603,358,0.24096653153539982,-0.4324943506785937
10354,198606,199106,61,-0.7638888545491639,-0.8109374725029702
10355,198606,202512,475,48.98141578633691,15.796509776556057
10356,192512,192811,36,2.222748669606038,2.3726439565644597
10357,197605,197612,8,0.8086933074322766,0.7434311777826585
10358,198606,199508,111,-0.13779836527132913,-0.3859139436105146
10359,198802,198901,12,0.1489355167887277,0.09770304948353306
10360,198803,199907,137,2.3442274546196504,1.3271168850382735
10361,198606,199604,119,-0.937499846128062,-0.9564538275326037
10362,198606,200603,238,-0.7419177269063799,-0.8593335358363599
10363,198606,202010,413,0.9836097669986146,-0.17041068088334038
10364,192512,199910,887,248.769186341676,25.72916381777759
10365,198206,198505,36,-0.8399998623376914,-0.8571480597572305
10366,198606,199405,96,-0.7205145866674205,-0.7936544982242855
10367,198606,199102,57,0.8161788325426667,0.46722459097846025
10368,198606,198807,26,0.5811428316710532,0.45305024783947406
10369,198606,199102,57,-0.9903981713850664,-0.9922430331144935
10370,198606,198902,33,0.40384846200838764,0.257229420334814
10371,198606,200912,283,1.5075687788159362,0.26453116251085035
10372,192512,198806,751,123.51127151593428,17.99324480751545
10373,198405,198504,12,-0.8749998640876875,-0.8794432739704451
10374,198606,199111,66,-0.9965189870540482,-0.997249039841697
10375,198606,201907,398,29.903558119090278,12.116827229768477
10376,198606,199709,136,1.6050789577682765,0.7598827450432131
10377,198606,198808,27,-0.8097018957264963,-0.8258532474337434
10378,198606,198807,26,-0.6718751315351295,-0.6984573993601316
10379,198606,198910,41,0.07317189122934183,-0.06951895736564224
10380,192512,193203,76,-0.986111090876329,-0.9821428311267086
10381,198108,198304,21,0.6078443878086448,0.4936972203171587
10382,198606,202512,475,14.818153073635797,4.315771043464805
10383,198606,200804,263,-0.9952159090060229,-0.9975745460463495
10384,198606,199711,138,-0.9773956598920692,-0.9847578164844975
10385,198606,199204,71,-0.944444556747612,-0.9566309120416842
10386,198606,199908,159,-0.37499784597827396,-0.5926826177560383
10387,198606,199012,55,-0.8425502100946648,-0.8718514041801868
10388,198606,200302,201,-0.9706391997591259,-0.9825374596055096
10389,198606,199004,47,1.585855645015024,1.184636770691514
10390,198606,199612,127,-0.8946732422679688,-0.9276791682407427
10391,198606,198909,40,0.9592478705078284,0.7068967447864207
10392,198606,199311,90,1.7536412231810314,1.0567320247216365
10393,198606,199502,105,-0.5336833085894637,-0.6634732425804677
10394,198606,199703,130,-0.34058116249424847,-0.5511830537226474
10395,198606,201904,395,9.825528593100282,3.613223597087906
10396,198606,198811,30,0.34375079214699666,0.2164128118437903
10397,198606,202512,475,20.25632093952287,6.1432950999340745
10398,198606,200003,166,0.3042505460721895,-0.1703686654949671
10399,192512,193412,109,-0.8636358774844897,-0.8168243130388667
10400,197212,198204,113,-0.9678575757627083,-0.9856392119319161
10401,192512,200510,959,401.2945418901434,35.35191643585633
10403,198606,198804,23,-0.9656652168780993,-0.9680695313238686
10404,198606,201011,294,4.916423668717173,1.9446512960210822
10405,198606,198903,34,-0.8153838021816928,-0.8356115785575337
10406,198606,199903,154,-5.726935742069579e-08,-0.3400000377977753
10407,198606,199805,144,-0.4558130104689582,-0.6359830272731541
10408,198606,198801,20,-0.4750001752213012,-0.5058558261158146
10409,198606,198808,27,0.7556766814695401,0.6066654673280074
10410,198606,200008,171,77.92240622663873,48.73755809074636
10411,198606,199703,130,2.085454205277202,1.1000372684667932
10412,198606,200001,164,-0.8209458933813379,-0.8844846433011118
10413,198606,199106,61,-0.6842116331975969,-0.7471371092295467
10414,198606,199402,93,0.05409098837947866,-0.21751527856492578
10415,198606,199312,91,8.901109229456164,6.395272942988869
10416,198606,198911,42,1.1898847944976465,0.8941894687910552
10417,198606,199111,66,-0.9843750400865722,-0.9876519728986045
10418,198606,200410,221,-0.7370190547780593,-0.8499810113427482
10419,198606,199611,126,-0.9407471572351847,-0.9593150404975511
10420,198606,199206,73,-0.8588232755040113,-0.8903413316860687
10421,198606,202512,475,81.82908243100916,26.83513573891047
10422,198606,200108,183,-0.9603007935452843,-0.9756436981244025
10423,198606,200107,182,2.570416380915477,1.190525881023639
10424,198606,198706,13,0.577143332362346,0.5132238669097748
10425,198606,199806,145,5.528425871825867,3.3616293094591283
10426,198606,199503,106,-0.9757251854493412,-0.982539449771686
10427,198606,198801,20,-0.8985504630868875,-0.9045129250662235
10428,192512,194803,268,3.202169576254258,2.232438135580203
10429,198110,199408,155,1.2795750105350412,0.42588181867024094
10430,198607,198811,29,-0.9193548761029738,-0.9265948373505871
10431,198607,199212,78,1.4546239107712755,0.8941601002780444
10432,198607,199311,89,-0.617187809787338,-0.7124970176386385
10433,198607,199005,47,-0.9879032353850041,-0.9897477111041637
10434,198607,199711,137,-0.9424088121221553,-0.9609521048134737
10435,198607,199007,49,0.27281917215313384,0.06881671281263903
10436,192512,197105,546,1.3009720567318168,0.027729454619671114
10437,198607,198903,33,-0.0686349899651287,-0.16611227637924392
10438,198607,199605,119,3.618584484879621,2.2294699942165948
10439,198607,199912,162,24.44559379280326,15.555511112964698
10440,198607,198811,29,-0.322984938956269,-0.38376434593276365
10441,198607,199103,57,-0.9453781058917571,-0.9556955747788697
10442,198607,200006,168,-0.3562377524542397,-0.5911138856945433
