analysis,horizon,horizon_months,window,period_number,PERMNO,start_ymm,target_end_ymm,end_ymm,realized_months,observed_rows,missing_calendar_months,is_sparse_history,terminal_reason,included_in_summary,nominal_ret,real_ret,nominal_ret_skip_first_observed,real_ret_skip_first_observed,period_end_mthretflg,period_end_security_end_dt,period_end_security_active_flg,period_end_del_action_type,period_end_del_status_type,period_end_del_reason_type,period_end_del_payment_type,stock_terminal_mthretflg,stock_terminal_security_end_dt,stock_terminal_security_active_flg,stock_terminal_del_action_type,stock_terminal_del_status_type,stock_terminal_del_reason_type,stock_terminal_del_payment_type
stock_anchored,10y,120,,1,81239,199502,200501,200306,101,101,0,False,delisted,True,-0.9978947272364402,-0.998277504102542,-0.997499987812019,-0.9979463699555452,DE,2003-06-30,Y,GDR,VCL,FING,PRCF,DE,2003-06-30,Y,GDR,VCL,FING,PRCF
stock_anchored,10y,120,,1,81240,199502,200501,200006,65,65,0,False,delisted,True,0.13208152146174035,-0.01304029770475823,0.11111696653711767,-0.027450404579749343,CR,2000-07-18,Y,GDR,VCL,EQRQ,PRCF,CR,2000-07-18,Y,GDR,VCL,EQRQ,PRCF
stock_anchored,10y,120,,1,81241,199502,200501,200501,120,120,0,False,complete,True,0.5289928622415936,0.20507408072843014,0.2741607185346606,0.008237296417831663,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
stock_anchored,10y,120,,2,81241,200502,201501,201501,120,120,0,False,complete,True,-0.04997668003410516,-0.2248009382795717,-0.04997668003410516,-0.2248009382795717,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
stock_anchored,10y,120,,3,81241,201502,202501,202501,120,120,0,False,complete,True,3.726063365066678,2.4769119336031236,3.726063365066678,2.4769119336031236,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
stock_anchored,10y,120,,4,81241,202502,203501,202512,11,11,0,False,sample_end,False,-0.38464322842184007,-0.39676411652377186,-0.38464322842184007,-0.39676411652377186,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
stock_anchored,10y,120,,1,81242,199502,200501,200501,120,120,0,False,complete,True,0.15999855898881776,-0.085748382716207,0.15999855898881776,-0.08209867566118167,CR,2007-12-14,Y,GDR,VCL,MVOT,PRCF,CR,2007-12-14,Y,GDR,VCL,MVOT,PRCF
stock_anchored,10y,120,,2,81242,200502,201501,200711,34,34,0,False,delisted,True,-0.9326764276560219,-0.9389219541103871,-0.9326764276560219,-0.9389219541103871,CR,2007-12-14,Y,GDR,VCL,MVOT,PRCF,CR,2007-12-14,Y,GDR,VCL,MVOT,PRCF
stock_anchored,10y,120,,1,81243,198305,199304,198412,20,20,0,False,delisted,True,-0.762711794619795,-0.7778099045537681,-0.762711794619795,-0.7764578350074421,CR,1985-01-17,Y,GDR,VCL,EQRQ,PRCF,CR,1985-01-17,Y,GDR,VCL,EQRQ,PRCF
stock_anchored,10y,120,,1,81244,199502,200501,200501,120,120,0,False,complete,True,2.662769253515591,1.886807649729385,2.351044994950327,1.6516659136759513,CR,2005-09-22,Y,GDR,VCL,DERE,PRCF,CR,2005-09-22,Y,GDR,VCL,DERE,PRCF
stock_anchored,10y,120,,2,81244,200502,201501,200508,7,7,0,False,delisted,True,0.003932823019263676,-0.025203720215001835,0.003932823019263676,-0.025203720215001835,CR,2005-09-22,Y,GDR,VCL,DERE,PRCF,CR,2005-09-22,Y,GDR,VCL,DERE,PRCF
stock_anchored,10y,120,,1,81245,199502,200501,199812,47,47,0,False,delisted,True,-0.44554661427085507,-0.4915537286449626,-0.317075549582827,-0.371242833630558,DE,1998-12-31,Y,MER,FPAY,UNAV,CASH,DE,1998-12-31,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,1,81246,199502,200501,200105,76,76,0,False,delisted,True,-0.8791487936207921,-0.8977831383297976,-0.8737776541372966,-0.8928140011779293,CR,2001-06-12,Y,GDR,VCL,LP,PRCF,CR,2001-06-12,Y,GDR,VCL,LP,PRCF
