horizon,horizon_months,period_number,PERMNO,start_ymm,target_end_ymm,end_ymm,realized_months,observed_rows,terminal_reason,included_in_summary,nominal_ret,real_ret
30y,360,1,92420,198508,201507,199005,58,58,delisted,True,-0.9917355107699398,-0.9931043967569622
30y,360,1,92421,200711,203710,201512,98,98,delisted,True,-0.9937500128487585,-0.9944799817529042
30y,360,1,92422,200711,203710,201102,40,40,delisted,True,0.9435235860656324,0.83454842382872
30y,360,1,92423,200711,203710,201512,98,98,delisted,True,-0.989560755380156,-0.9907800097195416
30y,360,1,92424,200711,203710,201008,34,34,delisted,True,1.0393696872204448,0.9514471383174099
30y,360,1,92425,200711,203710,200905,19,19,delisted,True,-0.21373943511757332,-0.23196060898951198
30y,360,1,92426,200711,203710,202512,218,218,sample_end,False,-0.41060215968450364,-0.6200472487859829
30y,360,1,92427,200711,203710,202504,210,210,delisted,True,-0.9981555012521163,-0.998798872212993
30y,360,1,92428,200711,203710,202512,218,218,sample_end,False,0.052329393551064696,-0.3216204388379177
30y,360,1,92429,200711,203710,201910,144,144,delisted,True,-0.9926926336190971,-0.9940682628174885
30y,360,1,92430,200711,203710,201102,40,40,delisted,True,-0.9670616566924168,-0.9689085400189142
30y,360,1,92431,200711,203710,201001,27,27,delisted,True,-0.36140465898351204,-0.3843536218677437
30y,360,1,92432,200711,203710,202512,218,218,sample_end,False,48.00713539279224,30.592236428355463
30y,360,1,92433,200711,203710,201811,133,133,delisted,True,-0.9999999918273574,-0.9999999932261603
30y,360,1,92434,200711,203710,201304,66,66,delisted,True,0.11511618683656755,0.00179232631416415
30y,360,1,92435,200711,203710,201009,35,35,delisted,True,-0.4124527392730698,-0.4381103064660814
30y,360,1,92436,198509,201508,199502,114,114,delisted,True,-0.9906249845090405,-0.9932902473623351
30y,360,1,92442,200711,203710,201011,37,37,delisted,True,0.6662551619516168,0.5908406344140273
30y,360,1,92443,200711,203710,202512,218,218,sample_end,False,1.4746956717934272,0.5953017887069654
30y,360,1,92444,198512,201511,199001,50,50,delisted,True,0.6413803091317902,0.4043206726480779
30y,360,1,92445,200711,203710,201606,104,104,delisted,True,-0.9946875129360557,-0.9953958357285658
30y,360,1,92446,200711,203710,201209,59,59,delisted,True,-0.2746504492355044,-0.34519905986118427
30y,360,1,92447,200711,203710,201002,28,28,delisted,True,-0.7803319569753678,-0.7882788480820626
30y,360,1,92448,200711,203710,202211,181,181,delisted,True,-0.9572952426793021,-0.9700346181219579
30y,360,1,92449,200711,203710,202512,218,218,sample_end,False,-0.9935992998957939,-0.9958738165498076
30y,360,1,92450,200711,203710,201306,68,68,delisted,True,-0.2636445181746626,-0.34123329727408147
30y,360,1,92451,200711,203710,201201,51,51,delisted,True,2.0037628616759187,1.7684633553378415
30y,360,1,92452,198508,201507,199303,92,92,delisted,True,-0.8780486122400751,-0.9084515348153209
30y,360,1,92453,200711,203710,202004,150,150,delisted,True,-0.995638521026605,-0.996446364869233
30y,360,1,92454,200711,203710,201701,111,111,delisted,True,1.6260616350991128,1.2590451927911244
30y,360,1,92455,200711,203710,201006,32,32,delisted,True,-0.17301130007730547,-0.20740513654095494
30y,360,1,92456,200712,203711,202309,190,190,delisted,True,-0.9961591248943082,-0.9973769304711462
30y,360,1,92457,200712,203711,202105,162,162,delisted,True,3.097887389860886,2.1998214281422666
30y,360,1,92458,200712,203711,201403,76,76,delisted,True,-0.13425545446928489,-0.22985656168165736
30y,360,1,92459,200712,203711,200906,19,19,delisted,True,0.3858068417085858,0.3505148434448251
30y,360,1,92460,200712,203711,201504,89,89,delisted,True,-0.5693775131421912,-0.6174250663041205
30y,360,1,92461,200712,203711,201004,29,29,delisted,True,-0.8819177571229377,-0.8861474184425484
30y,360,1,92462,200712,203711,201305,66,66,delisted,True,0.035909470216178185,-0.06523784309841207
30y,360,1,92463,200712,203711,200911,24,24,delisted,True,0.09777676768552745,0.06666979414550789
30y,360,1,92464,200712,203711,201512,97,97,delisted,True,0.5092680391150981,0.34128798994606635
30y,360,1,92465,200712,203711,201308,69,69,delisted,True,-0.5902450523207499,-0.6317274037114449
30y,360,1,92466,200712,203711,202512,217,217,sample_end,False,-0.9281642418466055,-0.9534032094532285
30y,360,1,92467,200712,203711,202512,217,217,sample_end,False,-0.37088593722914964,-0.5919205564676484
30y,360,1,92468,200712,203711,202512,217,217,sample_end,False,-0.9935560217524219,-0.9958200663233877
30y,360,1,92469,200801,203712,202512,216,216,sample_end,False,3.0847919753536797,1.6471091695343105
30y,360,1,92470,200712,203711,202512,217,217,sample_end,False,-0.9504654040252344,-0.9678690216016599
30y,360,1,92471,200712,203711,202512,217,217,sample_end,False,0.5864910390539388,0.029089029634373986
30y,360,1,92472,200712,203711,201702,111,111,delisted,True,-0.9826248638711687,-0.9850073537095998
30y,360,1,92474,200712,203711,200909,22,22,delisted,True,0.08805835862886746,0.0589939620213451
30y,360,1,92475,200712,203711,202512,217,217,sample_end,False,-0.9999752112261642,-0.9999839205803345
30y,360,1,92477,200712,203711,200910,23,23,delisted,True,0.05384472334412371,0.024707350212718193
30y,360,1,92478,200712,203711,201709,118,118,delisted,True,-0.3323451896998738,-0.43140098158939744
