analysis,horizon,horizon_months,window,period_number,PERMNO,start_ymm,target_end_ymm,end_ymm,realized_months,observed_rows,missing_calendar_months,is_sparse_history,terminal_reason,included_in_summary,no_post_start_obs,nominal_ret,real_ret,nominal_ret_skip_first_observed,real_ret_skip_first_observed,period_end_mthretflg,period_end_security_end_dt,period_end_security_active_flg,period_end_del_action_type,period_end_del_status_type,period_end_del_reason_type,period_end_del_payment_type,stock_terminal_mthretflg,stock_terminal_security_end_dt,stock_terminal_security_active_flg,stock_terminal_del_action_type,stock_terminal_del_status_type,stock_terminal_del_reason_type,stock_terminal_del_payment_type
calendar_window,10y,120,2015-2025,1,13616,201512,202512,201701,13,13,0,False,delisted,True,False,0.6696832453588264,0.6262702021030255,,,CR,2017-02-08,Y,MER,FPAY,UNAV,CASH,CR,2017-02-08,Y,MER,FPAY,UNAV,CASH
calendar_window,10y,120,2015-2025,1,13617,201512,202512,201711,23,23,0,False,delisted,True,False,0.6021083143992003,0.5362233157116252,,,CR,2017-12-08,Y,GEX,FPAY,UNAV,USTK,CR,2017-12-08,Y,GEX,FPAY,UNAV,USTK
calendar_window,10y,120,2015-2025,1,13618,201512,202512,202512,120,120,0,False,complete,True,False,2.2924435418514584,1.4031340725200603,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13621,201512,202512,202512,120,120,0,False,complete,True,False,-0.9241071040510241,-0.9446062470627379,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13622,201512,202512,202512,120,120,0,False,complete,True,False,-0.5864156537541323,-0.6981273568732251,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13625,201512,202512,202512,120,120,0,False,complete,True,False,-0.2668079727675975,-0.46484769747898824,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13627,201512,202512,201703,15,15,0,False,delisted,True,False,0.44307257989835147,0.4000055043271271,,,CR,2017-04-11,Y,MER,FPAY,UNAV,CASH,CR,2017-04-11,Y,MER,FPAY,UNAV,CASH
calendar_window,10y,120,2015-2025,1,13628,201512,202512,202512,120,120,0,False,complete,True,False,1.6955368828739341,0.9674556130205405,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,2015-2025,1,13631,201512,202512,202007,55,55,0,False,delisted,True,False,-0.9629527567173978,-0.9661807587874324,,,CR,2020-08-17,Y,GDR,VCL,DELQ,PRCF,CR,2020-08-17,Y,GDR,VCL,DELQ,PRCF
calendar_window,10y,120,2015-2025,1,13632,201512,202512,201610,10,10,0,False,delisted,True,False,0.17936676346360003,0.15397707237537928,,,CR,2016-11-04,Y,MER,FPAY,UNAV,CASH,CR,2016-11-04,Y,MER,FPAY,UNAV,CASH
